Kilometres,Body,Seats,Fuel type,Transmission,Model detail,location,item_url,is_import,enginesize,price,district,city
137644.0,"Pearl, Hatchback",5.0,Petrol,Automatic,- ELLERSLIE RS NEW SHAPE,"Auckland City, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/honda/auction-2149429017.htm?rsqid=2b3431a3cb554a2daf4abe6f3d0f561c-001,,1500.0,5970.0, Auckland,Auckland City
90715.0,"Black, 4 door, Sedan",,Petrol,Automatic,2.5V6 H/LEATHER TOP SPECS+ WARRANTYS AVAILABLE,"Auckland City, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/mercedesbenz/auction-2149296349.htm?rsqid=8c057464927c4232a5bb72a921771419-001,,2500.0,10490.0, Auckland,Auckland City
61420.0,"Grey, 5 door, RV/SUV",5.0,Petrol,Automatic,350XL 4WD High Spec,"Auckland City, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/nissan/auction-2160133193.htm?rsqid=20b6018c3ea94170aa1e976e3d9cf8da-001,,3500.0,9920.0, Auckland,Auckland City
74299.0,"Black, 4 door, Sedan",5.0,Petrol,Tiptronic,F10,"Christchurch City, Canterbury, NZ",https://www.trademe.co.nz/motors/used-cars/bmw/auction-2161480306.htm?rsqid=e62b3865dda94b5892d0405302ead3a5-001,,,52000.0, Canterbury,Christchurch City
128980.0,"GOLD, Station Wagon",5.0,Petrol,Automatic,EX 2.4P/4WD/6AT/SW/5,"Taupo, Waikato, NZ",https://www.trademe.co.nz/motors/used-cars/kia/auction-2061244566.htm?rsqid=c8fcaf3c472c48539f51827965642933-001,,2359.0,21990.0, Waikato,Taupo
195120.0,"Blue, Hatchback",5.0,Petrol,Automatic,- MANUKAU,"Manukau, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/nissan/auction-2055363148.htm?rsqid=684f9d9bc20941c2a91772ec0e913cfd-001,,1498.0,4470.0, Auckland,Manukau
51988.0,"Grey, RV/SUV",7.0,Petrol,Automatic,LT (AWD),"Auckland City, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/holden/auction-2054116663.htm?rsqid=4e2e7c382e804f1f8dd3411c6504b47b-001,,3000.0,25950.0, Auckland,Auckland City
4000.0,"Black, RV/SUV",5.0,Petrol,Automatic,2WD TSi Comfortline DSG,"Hamilton, Waikato, NZ",https://www.trademe.co.nz/motors/used-cars/volkswagen/auction-2059140974.htm?rsqid=05cbfa53c672463aa78b4ea50b983640-001,,1395.0,41990.0, Waikato,Hamilton
119000.0,"Pearl White, 4 door, Sedan",5.0,Petrol,Automatic,"B4 2.5i *i Sight, Cruise Control with Radar, Lane Assist*","Manukau, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/subaru/auction-2053625602.htm?rsqid=4e2e7c382e804f1f8dd3411c6504b47b-001,,2500.0,8995.0, Auckland,Manukau
80796.0,"Black, 5 door, RV/SUV",7.0,Diesel,Tiptronic,3.2 T/Diesel 4WD Super Exceed,"Christchurch City, Canterbury, NZ",https://www.trademe.co.nz/motors/used-cars/mitsubishi/auction-2057706314.htm?rsqid=18e97208c68944a398bf6033e0e509b9-001,,3200.0,27989.0, Canterbury,Christchurch City
97466.0,"White, 5 door, Station Wagon",5.0,Petrol,Automatic,R-LINE 1.8L TSI 132KW,"Auckland City, Auckland, NZ",https://www.trademe.co.nz/motors/used-cars/volkswagen/auction-2044034958.htm?rsqid=a8d59e681dbe42fdb0c00a02aaab53ef-001,,1798.0,26999.0, Auckland,Auckland City
6471.0,"White Orchid Pearl, RV/SUV",5.0,Petrol,Automatic,S,"Wellington City, Wellington, NZ",https://www.trademe.co.nz/motors/used-cars/honda/auction-2150416967.htm?rsqid=d4d05d3313324e4981ca29ca5ab98adc-001,,1799.0,27950.0, Wellington,Wellington City
